split	domain	n_docs	n_chars	n_bytes	manifest_sha256
dev	blog	3694	7392506	16957650	17954cb9e59705d10b48751bcc0f1c7dbcf5bf4c63e76f9309d89fdc7fad0b9a
dev	code	54	140915	288904	17954cb9e59705d10b48751bcc0f1c7dbcf5bf4c63e76f9309d89fdc7fad0b9a
dev	community	466	692422	1603363	17954cb9e59705d10b48751bcc0f1c7dbcf5bf4c63e76f9309d89fdc7fad0b9a
dev	encyclopedia	66	181493	419745	17954cb9e59705d10b48751bcc0f1c7dbcf5bf4c63e76f9309d89fdc7fad0b9a
dev	ko_en_mixed	2302	4832476	8202710	17954cb9e59705d10b48751bcc0f1c7dbcf5bf4c63e76f9309d89fdc7fad0b9a
dev	news	10476	16136240	38165983	17954cb9e59705d10b48751bcc0f1c7dbcf5bf4c63e76f9309d89fdc7fad0b9a
dev	technical	546	827049	1823028	17954cb9e59705d10b48751bcc0f1c7dbcf5bf4c63e76f9309d89fdc7fad0b9a
dev	web_general	42388	73595468	171874234	17954cb9e59705d10b48751bcc0f1c7dbcf5bf4c63e76f9309d89fdc7fad0b9a
final_test	blog	3593	7080004	16163072	b20ac29a9b3ca88d755d3fc2d47691f4d66b525b9aa9ad4170550d8de251ec84
final_test	code	42	97865	213283	b20ac29a9b3ca88d755d3fc2d47691f4d66b525b9aa9ad4170550d8de251ec84
final_test	community	483	766131	1755366	b20ac29a9b3ca88d755d3fc2d47691f4d66b525b9aa9ad4170550d8de251ec84
final_test	encyclopedia	67	273906	639783	b20ac29a9b3ca88d755d3fc2d47691f4d66b525b9aa9ad4170550d8de251ec84
final_test	ko_en_mixed	2226	4443532	7589212	b20ac29a9b3ca88d755d3fc2d47691f4d66b525b9aa9ad4170550d8de251ec84
final_test	news	10192	15584680	36842401	b20ac29a9b3ca88d755d3fc2d47691f4d66b525b9aa9ad4170550d8de251ec84
final_test	technical	592	899356	1934463	b20ac29a9b3ca88d755d3fc2d47691f4d66b525b9aa9ad4170550d8de251ec84
final_test	web_general	41486	72360965	169070308	b20ac29a9b3ca88d755d3fc2d47691f4d66b525b9aa9ad4170550d8de251ec84
train	blog	66503	134376582	308022253	38e32f3ef7494322e590909bef4b091ff5aca5bd20ec01850271704ca4297573
train	code	839	2176796	4477726	38e32f3ef7494322e590909bef4b091ff5aca5bd20ec01850271704ca4297573
train	community	8820	13300209	30510747	38e32f3ef7494322e590909bef4b091ff5aca5bd20ec01850271704ca4297573
train	encyclopedia	1098	3978794	9104688	38e32f3ef7494322e590909bef4b091ff5aca5bd20ec01850271704ca4297573
train	ko_en_mixed	41418	81554268	138930515	38e32f3ef7494322e590909bef4b091ff5aca5bd20ec01850271704ca4297573
train	news	186633	289789869	685221852	38e32f3ef7494322e590909bef4b091ff5aca5bd20ec01850271704ca4297573
train	technical	10161	16540237	35927878	38e32f3ef7494322e590909bef4b091ff5aca5bd20ec01850271704ca4297573
train	web_general	752747	1305934530	3048981819	38e32f3ef7494322e590909bef4b091ff5aca5bd20ec01850271704ca4297573
