ts_utc	clock_check_sha256	status	server	server_utc	local_midpoint_utc	offset_ms	rtt_ms	windows_source	method	git_commit	note
2026-08-29T15:17:09Z	649efb43f725016159c2bf7591260a01c722700c6ad9ae7c866c77cbf019e0d7	ok	https://huggingface.co/api/models?limit=1	2026-08-29T15:17:08Z	2026-08-29T15:17:09Z	-1585.097	243.123	local_cmos_clock	https_date	16f1162ad4ed8b05abc72147c65db79375f9b3a1	HTTPS Date 헤더는 초 단위이므로 5초 이내 여부만 판정한다
2026-08-30T02:26:47Z	ca1968f8d81b5e90b9eee52f9df99189d5a3789593adbef9b40a2867a37167f9	ok	https://huggingface.co/api/models?limit=1	2026-08-30T02:26:47Z	2026-08-30T02:26:47Z	-849.878	258.749	w32tm_unavailable_2147943462	https_date	dc53ceb9b5f1e69b682aa5c4e6eb44a3966729f6	HTTPS Date 헤더는 초 단위이므로 5초 이내 여부만 판정한다
2026-08-30T02:50:45Z	58b733312a2ae64ed01218716e5e6832b952d0d58d88a4a2bc996826c2599a26	ok	https://huggingface.co/api/models?limit=1	2026-08-30T02:50:44Z	2026-08-30T02:50:45Z	-1215.533	236.71	w32time_synchronized_source	https_date	cf1d1667fe84138471718cfd1169557350a43d85	HTTPS Date 헤더는 초 단위이므로 5초 이내 여부만 판정한다
2026-08-30T04:04:50Z	5cb3ef592a3f1b0fe2ca40eb25734a873e575448dc714ba361eb18c9988e8140	ok	https://huggingface.co/api/models?limit=1	2026-08-30T04:04:50Z	2026-08-30T04:04:50Z	-312.917	269.908	w32time_synchronized_source	https_date	ab0540ad1dcb9471e1d9e56e59cb0a1ce459678c	HTTPS Date 헤더는 초 단위이므로 5초 이내 여부만 판정한다
2026-08-30T05:25:11Z	60060cc710781a728dfc5a93be96341f993453eac9ca71ba49228443a3ea213b	ok	https://huggingface.co/api/models?limit=1	2026-08-30T05:25:11Z	2026-08-30T05:25:11Z	-307.531	256.334	w32time_synchronized_source	https_date	ab0540ad1dcb9471e1d9e56e59cb0a1ce459678c	HTTPS Date 헤더는 초 단위이므로 5초 이내 여부만 판정한다
2026-08-31T05:12:32Z	6da7fa362575dd8568c165d74fb10d8de5e19d5e95aa9f1c326e294ad6b65fe1	ok	https://huggingface.co/api/models?limit=1	2026-08-31T05:12:31Z	2026-08-31T05:12:31Z	-902.667	286.273	w32time_synchronized_source	https_date	c39627c2f5f892cbe4f1a30bc408bbac7a5c23b8	HTTPS Date 헤더는 초 단위이므로 5초 이내 여부만 판정한다
2026-08-31T05:54:34Z	cdbe0109e86d0ff9720eb88ba0b835df51d8615dc5b4ff128e4df9fe6a80265b	ok	https://huggingface.co/api/models?limit=1	2026-08-31T05:54:34Z	2026-08-31T05:54:34Z	-253.461	246.985	w32time_synchronized_source	https_date	8bfd1230c7f9db8c5c702ab0e46a990258bf3227	HTTPS Date 헤더는 초 단위이므로 5초 이내 여부만 판정한다
2026-09-01T03:37:27Z	9bd2148fdb076cc3040c2e2fa395ceae17b2cd3cbb4a2300aefae8a8b1d7fe52	ok	https://huggingface.co/api/models?limit=1	2026-09-01T03:37:27Z	2026-09-01T03:37:27Z	-843.635	244.32	w32tm_unavailable_2147943462	https_date	9ded083e16ba399436426fed989bad844a11cc63	HTTPS Date 헤더는 초 단위이므로 5초 이내 여부만 판정한다
2026-09-02T00:48:22Z	5261c49313313d193bd6d7dfdd041f587c8b64c8cbf612615ea148dd1712d306	ok	https://huggingface.co/api/models?limit=1	2026-09-02T00:48:21Z	2026-09-02T00:48:22Z	-1289.193	248.092	w32tm_unavailable_2147943462	https_date	de6770191c92671038743efdaaa2f6118d40a848	HTTPS Date 헤더는 초 단위이므로 5초 이내 여부만 판정한다
2026-09-02T01:46:40Z	d92112a8147c57845d4bfda60e221c27a04e289c9c88940487073f320d8fc66d	ok	https://huggingface.co/api/models?limit=1	2026-09-02T01:46:38Z	2026-09-02T01:46:39Z	-1912.09	229.77	w32tm_unavailable_2147943462	https_date	fc7f3ebee10926591c2557c926b4b58c86069060	HTTPS Date 헤더는 초 단위이므로 5초 이내 여부만 판정한다
2026-09-02T02:25:53Z	1ae2e97794dd0e54646ec02f02d1ada00b35b646ac2f0f06021591d4a0401198	ok	https://huggingface.co/api/models?limit=1	2026-09-02T02:25:51Z	2026-09-02T02:25:53Z	-2402.037	258.739	w32tm_unavailable_2147943462	https_date	7b1b1213437039147219f14f05a3557ff2aee39f	HTTPS Date 헤더는 초 단위이므로 5초 이내 여부만 판정한다
