ts_utc	run_id	step	tokens_seen	raw_bytes_seen	train_loss	dev_loss	dev_bpb	lr	grad_norm	grad_norm_emb	grad_norm_attn	grad_norm_ffn	peak_vram_mb	tok_per_s	raw_bytes_per_s	elapsed_sec	git_commit	config_sha256	grad_norm_head
2026-08-30T11:43:25Z	cpt_c0_qwen_smoke_seed42	7	229376	783147	2.617724	NA	1.149559	5.325521863e-06	3.296875	NA	NA	NA	11935	4374.33	14935.05	52.44	02b0c191b192946077cb33f8fb5b3fdcd6338dd1	f357fe48b6ca5e0472d9b279596be02874ee743afffc585e5cbab2bb45da7a57	NA
2026-08-30T11:43:49Z	cpt_c0_qwen_smoke_seed42	13	425984	1458898	2.795996	NA	1.149426	1.017349791e-06	4.40625	NA	NA	NA	11935	5609.26	19210.42	75.94	02b0c191b192946077cb33f8fb5b3fdcd6338dd1	f357fe48b6ca5e0472d9b279596be02874ee743afffc585e5cbab2bb45da7a57	NA
2026-08-30T11:47:20Z	cpt_c0_qwen_noise_seed42	28	917504	3087676	2.722595	NA	1.152397	9.445888809e-06	3.203125	NA	NA	NA	11935	5750.84	19353.31	159.54	02b0c191b192946077cb33f8fb5b3fdcd6338dd1	033666c752347175706539ab6fc54c28017b030f94ab2278d2b0cf2bcbad5b8d	NA
2026-08-30T11:48:59Z	cpt_c0_qwen_noise_seed42	55	1802240	6093091	2.815823	NA	1.150861	7.731109752e-06	3.5625	NA	NA	NA	11935	6965.02	23547.65	258.76	02b0c191b192946077cb33f8fb5b3fdcd6338dd1	033666c752347175706539ab6fc54c28017b030f94ab2278d2b0cf2bcbad5b8d	NA
2026-08-30T11:50:39Z	cpt_c0_qwen_noise_seed42	82	2686976	9077243	2.40003	NA	1.15022	5.374518617e-06	3.5	NA	NA	NA	11935	7507.37	25361.67	357.91	02b0c191b192946077cb33f8fb5b3fdcd6338dd1	033666c752347175706539ab6fc54c28017b030f94ab2278d2b0cf2bcbad5b8d	NA
2026-08-30T11:52:18Z	cpt_c0_qwen_noise_seed42	109	3571712	12069849	2.672007	NA	1.149791	3.048652639e-06	3.203125	NA	NA	NA	11935	7804.47	26373.56	457.65	02b0c191b192946077cb33f8fb5b3fdcd6338dd1	033666c752347175706539ab6fc54c28017b030f94ab2278d2b0cf2bcbad5b8d	NA
2026-08-30T11:53:57Z	cpt_c0_qwen_noise_seed42	136	4456448	15050020	2.795102	NA	1.149721	1.445632941e-06	3.125	NA	NA	NA	11935	8010.04	27050.96	556.36	02b0c191b192946077cb33f8fb5b3fdcd6338dd1	033666c752347175706539ab6fc54c28017b030f94ab2278d2b0cf2bcbad5b8d	NA
2026-08-30T11:58:07Z	cpt_c0_qwen_noise_seed123	28	917504	3080004	2.742086	NA	1.15261	9.448925205e-06	3.234375	NA	NA	NA	11935	5761.5	19341.01	159.25	02b0c191b192946077cb33f8fb5b3fdcd6338dd1	383a5c5387605e754de7d374d0426d8a128eb8d47931b7c59d00d33bf4f0abb2	NA
2026-08-30T11:59:46Z	cpt_c0_qwen_noise_seed123	55	1802240	6084189	2.927929	NA	1.151002	7.737479482e-06	3.765625	NA	NA	NA	11935	6982.97	23573.82	258.09	02b0c191b192946077cb33f8fb5b3fdcd6338dd1	383a5c5387605e754de7d374d0426d8a128eb8d47931b7c59d00d33bf4f0abb2	NA
2026-08-30T12:01:25Z	cpt_c0_qwen_noise_seed123	82	2686976	9043210	2.862408	NA	1.150268	5.402564204e-06	3.25	NA	NA	NA	11935	7516.59	25297.62	357.47	02b0c191b192946077cb33f8fb5b3fdcd6338dd1	383a5c5387605e754de7d374d0426d8a128eb8d47931b7c59d00d33bf4f0abb2	NA
2026-08-30T12:03:04Z	cpt_c0_qwen_noise_seed123	109	3571712	12065186	2.735748	NA	1.149924	3.051876975e-06	3.125	NA	NA	NA	11935	7826.94	26439.28	456.34	02b0c191b192946077cb33f8fb5b3fdcd6338dd1	383a5c5387605e754de7d374d0426d8a128eb8d47931b7c59d00d33bf4f0abb2	NA
2026-08-30T12:04:43Z	cpt_c0_qwen_noise_seed123	136	4456448	15052846	2.859024	NA	1.149821	1.444622742e-06	3.421875	NA	NA	NA	11935	8030.95	27126.69	554.91	02b0c191b192946077cb33f8fb5b3fdcd6338dd1	383a5c5387605e754de7d374d0426d8a128eb8d47931b7c59d00d33bf4f0abb2	NA
2026-08-30T12:08:51Z	cpt_c0_qwen_noise_seed2026	28	917504	3097129	2.729377	NA	1.152762	9.44213682e-06	3.390625	NA	NA	NA	11935	5789.52	19543.11	158.48	02b0c191b192946077cb33f8fb5b3fdcd6338dd1	02296a973c263fa72eb6eff8eaeec199201e310bccac4aa177c1b78642b6a34f	NA
2026-08-30T12:10:30Z	cpt_c0_qwen_noise_seed2026	55	1802240	6081375	2.529271	NA	1.151201	7.739491772e-06	3.21875	NA	NA	NA	11935	7001.09	23624.08	257.42	02b0c191b192946077cb33f8fb5b3fdcd6338dd1	02296a973c263fa72eb6eff8eaeec199201e310bccac4aa177c1b78642b6a34f	NA
2026-08-30T12:12:09Z	cpt_c0_qwen_noise_seed2026	82	2686976	9095624	2.767683	NA	1.150293	5.359373338e-06	3.328125	NA	NA	NA	11935	7532.28	25497.34	356.73	02b0c191b192946077cb33f8fb5b3fdcd6338dd1	02296a973c263fa72eb6eff8eaeec199201e310bccac4aa177c1b78642b6a34f	NA
2026-08-30T12:13:49Z	cpt_c0_qwen_noise_seed2026	109	3571712	12107358	2.694223	NA	1.150008	3.022781462e-06	3.03125	NA	NA	NA	11935	7829.49	26540.35	456.19	02b0c191b192946077cb33f8fb5b3fdcd6338dd1	02296a973c263fa72eb6eff8eaeec199201e310bccac4aa177c1b78642b6a34f	NA
2026-08-30T12:15:28Z	cpt_c0_qwen_noise_seed2026	136	4456448	15077690	2.770293	NA	1.149879	1.435788659e-06	3.171875	NA	NA	NA	11935	8027.26	27158.98	555.16	02b0c191b192946077cb33f8fb5b3fdcd6338dd1	02296a973c263fa72eb6eff8eaeec199201e310bccac4aa177c1b78642b6a34f	NA
2026-08-30T12:44:28Z	cpt_c0_qwen_trilang_seed42	6	196608	673932	2.662152	NA	1.123043	4.758882502e-06	3.3125	NA	NA	NA	11935	2451.78	8404.21	80.19	02b0c191b192946077cb33f8fb5b3fdcd6338dd1	a4651c49e88eec6500dd813f8dbbe8f9a37454c3ca06f0a8f33a5c3e367a035d	NA
2026-08-30T12:49:38Z	cpt_t2b_mean_noise_seed42	19	622592	3040807	6.846628	NA	1.982928	9.464316601e-06	10.5625	NA	NA	NA	11935	2658.97	12986.7	234.15	86f61d7f852e2a80c3d4d46422f92405953b9b0b	af2f95128152c4586886d86d53010dc5623f9d73ce2a028b53e1e9002864f408	NA
2026-08-30T12:51:05Z	cpt_t2b_mean_noise_seed42	38	1245184	6008633	6.021983	NA	1.90448	7.791301505e-06	15.25	NA	NA	NA	11935	3887.14	18757.38	320.33	86f61d7f852e2a80c3d4d46422f92405953b9b0b	af2f95128152c4586886d86d53010dc5623f9d73ce2a028b53e1e9002864f408	NA
2026-08-30T12:52:37Z	cpt_t2b_mean_noise_seed42	58	1900544	9148699	6.309859	NA	1.874985	5.315651014e-06	7.53125	NA	NA	NA	11935	4609.28	22187.8	412.33	86f61d7f852e2a80c3d4d46422f92405953b9b0b	af2f95128152c4586886d86d53010dc5623f9d73ce2a028b53e1e9002864f408	NA
2026-08-30T12:54:02Z	cpt_t2b_mean_noise_seed42	76	2490368	12026336	6.25789	NA	1.865087	3.078809888e-06	7.28125	NA	NA	NA	11935	5007.74	24183.09	497.3	86f61d7f852e2a80c3d4d46422f92405953b9b0b	af2f95128152c4586886d86d53010dc5623f9d73ce2a028b53e1e9002864f408	NA
2026-08-30T12:55:30Z	cpt_t2b_mean_noise_seed42	95	3112960	15034717	6.361733	NA	1.862179	1.451122109e-06	7.15625	NA	NA	NA	11935	5314.92	25669.55	585.7	86f61d7f852e2a80c3d4d46422f92405953b9b0b	af2f95128152c4586886d86d53010dc5623f9d73ce2a028b53e1e9002864f408	NA
